LanePointX,LanePointY
190.630543,-1.650000
190.899291,-1.650000
191.167952,-1.650000
191.436433,-1.650000
191.704755,-1.650000
191.973211,-1.650000
192.242318,-1.650000
192.510960,-1.650000
192.779501,-1.650000
193.048625,-1.650000
193.317489,-1.650000
197.619232,-1.650000
197.890164,-1.650000
198.157495,-1.650000
198.427339,-1.650000
198.696310,-1.650000
198.965377,-1.650000
199.235575,-1.650000
199.503345,-1.650000
199.772881,-1.650000
200.042648,-1.650000
200.312222,-1.650000
200.582047,-1.650000
200.850292,-1.650000
201.119600,-1.650000
201.389182,-1.650000
205.705077,-1.650000
205.973338,-1.650000
206.242730,-1.650000
206.512891,-1.650000
206.782810,-1.650000
207.052928,-1.650000
207.323371,-1.650000
207.592700,-1.650000
207.863114,-1.650000
208.132297,-1.650000
208.403177,-1.650000
208.672379,-1.650000
208.941785,-1.650000
209.212096,-1.650000
209.482628,-1.650000
213.805305,-1.650000
214.076517,-1.650000
214.346480,-1.650000
214.617685,-1.650000
214.888674,-1.650000
215.158480,-1.650000
215.428898,-1.650000
215.698887,-1.650000
215.970046,-1.650000
216.240646,-1.650000
216.511336,-1.650000
216.782373,-1.650000
217.052543,-1.650000
217.323587,-1.650000
217.594390,-1.650000
221.929718,-1.650000
222.200423,-1.650000
222.471476,-1.650000
222.743026,-1.650000
223.013892,-1.650000
223.285647,-1.650000
223.557340,-1.650000
223.828249,-1.650000
224.099415,-1.650000
224.370726,-1.650000
224.641925,-1.650000
224.913258,-1.650000
225.184633,-1.650000
225.456094,-1.650000
225.727981,-1.650000
230.073642,-1.650000
230.344542,-1.650000
230.615718,-1.650000
230.887998,-1.650000
231.159713,-1.650000
231.431849,-1.650000
231.704098,-1.650000
231.974715,-1.650000
232.246864,-1.650000
232.518402,-1.650000
232.790204,-1.650000
233.061814,-1.650000
233.332940,-1.650000
233.605604,-1.650000
233.877601,-1.650000
238.228574,-1.650000
238.498942,-1.650000
238.772471,-1.650000
